I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION,,
10166,,2015,11,24,22,45,    ,636,7.6,7.6,,,,,,4,PERU,,PERU-BRAZIL,-10.77,-71.41,160,,,,,,,,,,,,,,,,,,,,,,,,,,
10165,,2015,11,24,22,50,    ,606,7.6,7.6,,,,,,4,PERU,,PERU-BRAZIL,-10.07,-70.98,160,,,,,,,,,,,,,,,,,,,,,,,,,,
10168,,2015,12,7,7,51,35,22,7.2,7.2,,,,,,3,TAJIKISTAN,,TAJIKISTAN,38.211,72.78,40,2,1,,,,3,5,2,500,3,,3,2,1,,,,3,5,2,500,3,,3,,
10350,,2015,12,17,19,49,5,85,6.6,6.6,,,,,,5,MEXICO,,MEXICO:  COCOTITLAN,15.802,-93.633,150,2,1,,,,,,,,,,,2,1,,,,,,,,,,,,
10169,,2015,12,25,19,14,19,206,6.3,6.3,,,,,,5,AFGHANISTAN,,AFGHANISTAN; PAKISTAN,36.494,71.126,40,4,1,,,97,2,,1,,1,,1,4,1,,,97,2,,1,,1,,1,,
10170,,2016,1,3,23,5,27,55,6.7,6.7,,,,,,7,INDIA,,INDIA:  IMPAHL,24.804,93.651,60,13,1,,,100,2,75,4,,,,2,13,1,,,100,2,75,4,,,,2,,
10171,,2016,1,16,23,22,4,4,5.6,5.6,,,,,,3,INDONESIA,,INDONESIA: MALUKU:  BURU, AMBALAU ISLAND,-3.873,127.229,170,1,1,,,22,1,,1,,,230,3,1,1,,,22,1,,1,,,230,3,
10172,,2016,1,24,10,30,56,126,7.1,7.1,,,,,,6,USA,AK,USA: ALASKA:  KENAI,59.658,-153.452,150,,,,,,,,1,4,1,,,,,,,,,,1,4,1,,,,
10173,,2016,1,25,4,23,13,12,6.3,6.3,,,,,,6,MOROCCO,,MOROCCO:  MELILLA,35.649,-3.682,15,1,1,,,26,1,,1,,1,,1,1,1,,,26,1,,1,,1,,1,,
10174,,2016,2,5,19,57,6,10,6.4,6.4,,,,,,7,TAIWAN,,TAIWAN:  TAINAN,22.97,120.46,30,117,3,,,525,3,700,4,,1,,1,117,3,,,525,3,700,4,,1,,1,,
